1746536647.3313823 N:    0, t: 27536100, dt: 27536100, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  0.26, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.49, MS_MPC: 22662.74, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.52, gy:  0.43, gz:  1.92, OX:  0.00
1746536647.4472103 N:    1, t: 27555622, dt: 19522, ENC_DEG:  7.36, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.30, I: -0.33, D: -0.28, VEL_OUT: -6.50, MS_MPC: 22677.71, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.64, gy:  0.55, gz:  1.86, OX:  0.01
1746536647.4528668 N:    2, t: 27576057, dt: 20435, ENC_DEG:  7.32, REF:  0.00, VEL_RAW: -2.15, VEL_AVG:  0.12, I: -0.45, D:  0.18, VEL_OUT: -0.35, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.70, gy:  0.24, gz:  1.80, OX:  0.03
1746536647.520614  N:    3, t: 27596584, dt: 20527, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -0.57, D:  0.00, VEL_OUT: -2.39, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.89, gy:  0.43, gz:  1.92, OX:  0.03
1746536647.5236063 N:    4, t: 27614860, dt: 18276, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -0.70, D:  0.00, VEL_OUT: -2.64, MS_MPC: 22667.74, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.76, gy:  0.49, gz:  1.68, OX:  0.01
1746536647.5246036 N:    6, t: 27659380, dt: 23248, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.20, I: -1.03, D: -0.08, VEL_OUT: -4.87, MS_MPC: 22672.73, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.21, gy:  0.06, gz:  1.07, OX:  0.00
1746536647.525978  N:    7, t: 27735142, dt: 75762, ENC_DEG:  7.38, REF:  0.00, VEL_RAW:  0.58, VEL_AVG:  0.25, I: -1.28, D: -0.05, VEL_OUT: -5.55, MS_MPC: 22682.70, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.58, gy:  0.06, gz:  0.03, OX: -0.07
1746536647.6238637 N:    9, t: 27775587, dt: 14959, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -1.47, VEL_AVG: -0.09, I: -1.40, D: -0.05, VEL_OUT: -4.17, MS_MPC: 22662.74, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.52, gy:  0.06, gz: -0.40, OX: -0.02
1746536647.688842  N:   10, t: 27795922, dt: 20335, ENC_DEG:  7.25, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.27, I: -1.67, D: -0.18, VEL_OUT: -7.80, MS_MPC: 22652.76, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.34, gy: -0.18, gz: -0.34, OX: -0.04
1746536647.69461   N:   11, t: 27815384, dt: 19462, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  2.26, VEL_AVG: -0.08, I: -1.74, D:  0.19, VEL_OUT: -2.39, MS_MPC: 22662.74, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.15, gy: -0.49, gz: -0.40, OX: -0.00
1746536647.701237  N:   12, t: 27834797, dt: 19413, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.09, I: -1.83, D: -0.01, VEL_OUT: -4.64, MS_MPC: 22672.73, ax: -0.00, ay: -0.02, az:  1.01, gx:  0.03, gy: -0.55, gz: -0.21, OX: -0.03
