1746536890.5720634 N:    0, t: 27904062, dt: 27904062, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.14, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.25, MS_MPC: 21865.07, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.24, gz:  0.61, OX:  0.01
1746536890.5780485 N:    1, t: 27924596, dt: 20534, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.17, I: -0.18, D: -0.16, VEL_OUT: -3.58, MS_MPC: 21854.73, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy:  0.00, gz:  0.85, OX:  0.03
1746536890.584197  N:    2, t: 27942682, dt: 18086, ENC_DEG:  3.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -0.35, D:  0.00, VEL_OUT: -2.36, MS_MPC: 21854.73, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy: -0.12, gz:  0.55, OX: -0.04
1746536890.5911798 N:    3, t: 27965181, dt: 22499, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.09, I: -0.43, D:  0.08, VEL_OUT: -0.90, MS_MPC: 21859.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.31, gz:  0.43, OX: -0.02
1746536890.6314723 N:    4, t: 27984537, dt: 19356, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.52, D:  0.00, VEL_OUT: -1.89, MS_MPC: 21859.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.06, gz:  0.31, OX: -0.00
1746536890.637605  N:    5, t: 28007893, dt: 23356, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  1.88, VEL_AVG:  0.07, I: -0.59, D:  0.01, VEL_OUT: -1.75, MS_MPC: 21870.24, ax:  0.00, ay:  0.00, az:  1.00, gx:  1.04, gy: -0.12, gz:  0.37, OX:  0.03
1746536890.644594  N:    6, t: 28026046, dt: 18153, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.13, I: -0.72, D: -0.06, VEL_OUT: -3.33, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.98, gy:  0.00, gz:  0.55, OX:  0.05
1746536890.8094666 N:    7, t: 28047133, dt: 21087, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -0.85, D:  0.00, VEL_OUT: -3.00, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.12, gz:  0.37, OX:  0.01
1746536890.81575   N:    8, t: 28064284, dt: 17151, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -0.98, D:  0.00, VEL_OUT: -3.26, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.00, gz:  0.00, OX: -0.01
1746536890.8216937 N:    9, t: 28086736, dt: 22452, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.05, I: -1.03, D:  0.08, VEL_OUT: -1.73, MS_MPC: 21865.07, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.61, gy:  0.00, gz: -0.61, OX: -0.08
1746536890.8277156 N:   10, t: 28103960, dt: 17224, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.16, I: -1.18, D: -0.11, VEL_OUT: -4.98, MS_MPC: 21859.90, ax:  0.01, ay: -0.04, az:  1.00, gx:  0.31, gy: -0.18, gz: -0.61, OX: -0.79
