1746536423.707084  N:    0, t: 58659501, dt: 58659501, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.29, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.54, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.00, OX:  0.01
1746536423.712251  N:    1, t: 58679153, dt: 19652, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.12, I: -0.14, D: -0.09, VEL_OUT: -2.39, MS_MPC: 24774.57, ax:  0.02, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.12, gz: -0.18, OX:  0.01
1746536423.7184234 N:    2, t: 58698424, dt: 19271, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -0.26, D:  0.00, VEL_OUT: -1.69, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.55, gz: -0.55, OX: -0.07
1746536423.7245822 N:    3, t: 58722708, dt: 24284, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -0.38, D:  0.00, VEL_OUT: -1.93, MS_MPC: 24774.57, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.31, gz: -0.18, OX: -0.02
1746536423.8276184 N:    4, t: 58739495, dt: 16787, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.31, VEL_AVG:  0.01, I: -0.39, D:  0.11, VEL_OUT:  0.24, MS_MPC: 24770.15, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.43, gy: -0.43, gz:  0.12, OX:  0.01
1746536423.8336003 N:    5, t: 58759138, dt: 19643, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  2.24, VEL_AVG:  0.19, I: -0.58, D: -0.19, VEL_OUT: -4.97, MS_MPC: 24778.99, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.55, gy: -0.18, gz:  0.43, OX:  0.04
1746536423.838589  N:    6, t: 58779355, dt: 20217, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.01, I: -0.59, D:  0.18, VEL_OUT:  0.49, MS_MPC: 24770.15, ax:  0.02, ay:  0.01, az:  0.99, gx: -0.49, gy: -0.18, gz:  0.43, OX: -0.01
1746536423.8437657 N:    7, t: 58798509, dt: 19154, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -0.61, D:  0.00, VEL_OUT: -1.35, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.49, gy: -0.31, gz:  0.61, OX: -0.01
1746536423.850557  N:    9, t: 58839120, dt: 15179, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -2.90, VEL_AVG: -0.08, I: -0.85, D:  0.07, VEL_OUT: -1.79, MS_MPC: 24770.15, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.06, gz:  0.49, OX: -0.01
1746536423.8867688 N:   10, t: 58859448, dt: 20328, ENC_DEG: 17.10, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.17, I: -1.02, D: -0.09, VEL_OUT: -4.68, MS_MPC: 24765.73, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.18, gz:  0.31, OX: -0.00
1746536423.8922462 N:   11, t: 58879242, dt: 19794, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  2.22, VEL_AVG:  0.01, I: -1.03, D:  0.16, VEL_OUT: -0.56, MS_MPC: 24774.57, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.06, gz:  0.43, OX:  0.03
