1746536792.1723628 N:    0, t: 29656985, dt: 29656985, ENC_DEG:  5.85, REF:  0.00, VEL_RAW:  0.20, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.36, MS_MPC: 22330.82, ax:  0.00, ay: -0.01, az:  0.99, gx:  0.24, gy:  0.12, gz:  0.79, OX:  0.01
1746536792.288645  N:    1, t: 29676513, dt: 19528, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.30, I: -0.31, D: -0.28, VEL_OUT: -6.42, MS_MPC: 22346.02, ax:  0.00, ay: -0.01, az:  0.99, gx:  0.18, gy: -0.18, gz:  0.49, OX: -0.01
1746536792.294592  N:    2, t: 29695800, dt: 19287, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.20, I: -0.52, D:  0.09, VEL_OUT: -2.11, MS_MPC: 22340.96, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.73, gz:  1.53, OX:  0.04
1746536792.300772  N:    3, t: 29719335, dt: 23535, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -0.72, D:  0.00, VEL_OUT: -3.47, MS_MPC: 22340.96, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.67, gz:  1.34, OX:  0.01
1746536792.306756  N:    4, t: 29735400, dt: 16065, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.37, VEL_AVG:  0.09, I: -0.81, D:  0.11, VEL_OUT: -1.37, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.67, gz:  1.59, OX:  0.03
1746536792.351219  N:    6, t: 29777715, dt: 16967, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  2.59, VEL_AVG:  0.30, I: -1.20, D: -0.22, VEL_OUT: -7.61, MS_MPC: 22346.02, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.79, gy: -0.98, gz:  0.98, OX: -0.00
1746536792.3563433 N:    7, t: 29857436, dt: 79721, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -0.28, VEL_AVG:  0.28, I: -1.48, D:  0.02, VEL_OUT: -5.55, MS_MPC: 22340.96, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.85, gy: -0.92, gz: -0.73, OX: -0.04
1746536792.3623633 N:    8, t: 29876678, dt: 19242, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.38, I: -1.86, D: -0.10, VEL_OUT: -8.44, MS_MPC: 22346.02, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.61, gy: -1.10, gz: -1.10, OX: -0.02
1746536792.409198  N:    9, t: 29897193, dt: 20515, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.29, I: -2.15, D:  0.09, VEL_OUT: -6.28, MS_MPC: 22340.96, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.73, gz: -1.28, OX: -0.01
1746536792.4142916 N:   10, t: 29920432, dt: 23239, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.37, I: -2.51, D: -0.08, VEL_OUT: -9.48, MS_MPC: 22346.02, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.92, OX: -0.00
1746536792.4204671 N:   11, t: 29935504, dt: 15072, ENC_DEG:  5.85, REF:  0.00, VEL_RAW: -4.37, VEL_AVG:  0.00, I: -2.52, D:  0.36, VEL_OUT: -1.41, MS_MPC: 22330.82, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.12, gz: -0.85, OX:  0.00
1746536792.4277787 N:   12, t: 29961821, dt: 26317, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  2.50, VEL_AVG:  0.19, I: -2.71, D: -0.19, VEL_OUT: -9.29, MS_MPC: 22346.02, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.67, OX: -0.02
