1746537143.174618  N:    0, t: 28191185, dt: 28191185, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.12, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.22, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.31, gy:  0.12, gz:  0.55, OX:  0.01
1746537143.1808178 N:    1, t: 28210692, dt: 19507, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.08, I: -0.09, D: -0.07, VEL_OUT: -1.76, MS_MPC: 21766.67, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.67, OX:  0.01
1746537143.1868012 N:    2, t: 28229865, dt: 19173, ENC_DEG:  3.43, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -0.18, D:  0.00, VEL_OUT: -1.19, MS_MPC: 21766.67, ax:  0.00, ay:  0.00, az:  1.03, gx: -0.18, gy:  0.31, gz:  0.24, OX: -0.04
1746537143.1927876 N:    3, t: 28254071, dt: 24206, ENC_DEG:  3.41, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.16, I: -0.34, D: -0.08, VEL_OUT: -3.02, MS_MPC: 21761.48, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.24, gy:  0.31, gz:  0.43, OX:  0.03
1746537143.2946453 N:    4, t: 28271064, dt: 16993, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.59, VEL_AVG:  0.06, I: -0.39, D:  0.10, VEL_OUT: -0.32, MS_MPC: 21771.86, ax:  0.00, ay:  0.02, az:  1.00, gx: -0.24, gy:  0.37, gz: -0.24, OX:  0.03
1746537143.3496954 N:    5, t: 28293092, dt: 22028, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -0.45, D:  0.00, VEL_OUT: -1.46, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.31, gz: -0.98, OX: -0.09
1746537143.3555102 N:    6, t: 28310189, dt: 17097, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.05, I: -0.50, D:  0.01, VEL_OUT: -1.46, MS_MPC: 21766.67, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.12, gz: -1.04, OX: -0.09
1746537143.413144  N:    7, t: 28331344, dt: 21155, ENC_DEG:  3.43, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -0.55, D:  0.00, VEL_OUT: -1.61, MS_MPC: 21766.67, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.12, gz: -0.18, OX: -0.02
1746537143.4193645 N:    9, t: 28371518, dt: 18192, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -0.62, D:  0.00, VEL_OUT: -1.56, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.06, gz:  0.37, OX:  0.01
1746537143.4254825 N:   12, t: 28430458, dt: 16126, ENC_DEG:  3.43, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -0.75, D: -0.01, VEL_OUT: -2.18, MS_MPC: 21766.67, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.24, gz:  0.37, OX: -0.02
1746537143.4314675 N:   13, t: 28450466, dt: 20008, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.13, I: -0.88, D: -0.07, VEL_OUT: -3.75, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.18, gy: -0.37, gz:  0.24, OX:  0.00
