1746534949.6086395 N:    0, t: 64975133, dt: 64975133, ENC_DEG: 31.25, REF:  0.00, VEL_RAW:  0.48, VEL_AVG:  0.04, I: -0.04, D: -0.04, VEL_OUT: -0.88, MS_MPC: 27296.49, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.22, gy:  0.31, gz: -0.55, OX: -0.03
1746534949.614127  N:    1, t: 65000488, dt: 25355, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  4.33, VEL_AVG:  0.40, I: -0.44, D: -0.36, VEL_OUT: -8.50, MS_MPC: 27313.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  1.22, gy:  0.00, gz: -0.37, OX: -0.02
1746534949.6202767 N:    2, t: 65015541, dt: 15053, ENC_DEG: 31.27, REF:  0.00, VEL_RAW: -5.84, VEL_AVG: -0.09, I: -0.53, D:  0.32, VEL_OUT:  1.25, MS_MPC: 27299.88, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.98, gy: -0.12, gz: -0.37, OX: -0.01
1746534949.6666284 N:    3, t: 65034462, dt: 18921, ENC_DEG: 31.29, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.01, I: -0.54, D:  0.07, VEL_OUT: -0.45, MS_MPC: 27303.26, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.73, gy:  0.24, gz: -0.31, OX: -0.00
1746534949.6736035 N:    4, t: 65054762, dt: 20300, ENC_DEG: 31.29, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -0.55, D:  0.00, VEL_OUT: -1.21, MS_MPC: 27303.26, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.12, gz: -0.55, OX:  0.04
1746534949.7858849 N:    5, t: 65073834, dt: 19072, ENC_DEG: 31.27, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.08, I: -0.63, D: -0.07, VEL_OUT: -2.85, MS_MPC: 27299.88, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.24, gz: -0.18, OX:  0.01
1746534949.8430836 N:    6, t: 65093793, dt: 19959, ENC_DEG: 31.29, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.01, I: -0.64, D:  0.08, VEL_OUT: -0.58, MS_MPC: 27303.26, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.00, gz: -0.24, OX: -0.00
1746534949.8490653 N:    7, t: 65113808, dt: 20015, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  2.20, VEL_AVG:  0.19, I: -0.83, D: -0.18, VEL_OUT: -5.39, MS_MPC: 27310.02, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.18, gz:  0.18, OX: -0.02
1746534949.854851  N:    8, t: 65134928, dt: 21120, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -2.08, VEL_AVG:  0.02, I: -0.85, D:  0.17, VEL_OUT: -0.13, MS_MPC: 27303.26, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.12, gz:  0.31, OX:  0.01
1746534949.8607965 N:   12, t: 65215297, dt: 21444, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -3.07, VEL_AVG:  0.20, I: -1.77, D:  0.30, VEL_OUT: -2.62, MS_MPC: 27303.26, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.37, gy: -0.06, gz: -0.18, OX: -0.01
1746534949.8667798 N:   14, t: 65256719, dt: 20173, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  4.36, VEL_AVG:  0.69, I: -2.62, D: -0.54, VEL_OUT: -17.51, MS_MPC: 27316.77, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.31, gy:  0.18, gz: -0.43, OX: -0.04
