Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3615,4531.0,28.2421875,35.3984375,Tar1,7.15625
2,5962,6932.0,46.578125,54.15625,Tar2,7.578125
3,8468,9445.0,66.15625,73.7890625,Tar3,7.6328125
4,11085,11998.0,86.6015625,93.734375,Tar2,7.1328125
5,13449,14396.0,105.0703125,112.46875,Tar1,7.3984375
6,15790,16619.0,123.359375,129.8359375,Tar3,6.4765625
7,17965,18820.0,140.3515625,147.03125,Tar3,6.6796875
8,20318,21191.0,158.734375,165.5546875,Tar1,6.8203125
9,22620,23453.0,176.71875,183.2265625,Tar2,6.5078125
10,38390,39251.0,299.921875,306.6484375,Tar1,6.7265625
11,40975,41934.0,320.1171875,327.609375,Tar3,7.4921875
12,43583,44481.0,340.4921875,347.5078125,Tar2,7.015625
13,46105,46873.0,360.1953125,366.1953125,Tar3,6.0
14,48212,49181.0,376.65625,384.2265625,Tar1,7.5703125
15,50749,51741.0,396.4765625,404.2265625,Tar2,7.75
16,53292,54075.0,416.34375,422.4609375,Tar3,6.1171875
17,55652,56583.0,434.78125,442.0546875,Tar1,7.2734375
18,58172,59207.0,454.46875,462.5546875,Tar2,8.0859375
19,63441,64588.0,495.6328125,504.59375,Tar3,8.9609375
20,66083,67205.0,516.2734375,525.0390625,Tar2,8.765625
21,87588,88389.0,684.28125,690.5390625,Tar1,6.2578125
22,89825,90745.0,701.7578125,708.9453125,Tar3,7.1875
23,92098,92969.0,719.515625,726.3203125,Tar1,6.8046875
24,94579,95412.0,738.8984375,745.40625,Tar3,6.5078125
25,96842,97836.0,756.578125,764.34375,Tar2,7.765625
26,99338,100083.0,776.078125,781.8984375,Tar1,5.8203125
27,101490,102293.0,792.890625,799.1640625,Tar2,6.2734375
28,103784,104618.0,810.8125,817.328125,Tar3,6.515625
29,106297,107197.0,830.4453125,837.4765625,Tar1,7.03125
30,108792,109742.0,849.9375,857.359375,Tar3,7.421875
