Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,498,655.0,3.890625,5.1171875,Tar1,1.2265625
2,1082,1197.0,8.453125,9.3515625,Tar3,0.8984375
3,1536,1700.0,12.0,13.28125,Tar2,1.28125
4,2013,2140.0,15.7265625,16.71875,Tar2,0.9921875
5,2476,2602.0,19.34375,20.328125,Tar3,0.984375
6,2910,3036.0,22.734375,23.71875,Tar1,0.984375
7,3411,3520.0,26.6484375,27.5,Tar1,0.8515625
8,3873,4004.0,30.2578125,31.28125,Tar2,1.0234375
9,4345,4481.0,33.9453125,35.0078125,Tar3,1.0625
10,4821,4936.0,37.6640625,38.5625,Tar3,0.8984375
11,5253,5371.0,41.0390625,41.9609375,Tar1,0.921875
12,5689,5823.0,44.4453125,45.4921875,Tar2,1.046875
13,6178,6315.0,48.265625,49.3359375,Tar2,1.0703125
14,6657,6797.0,52.0078125,53.1015625,Tar1,1.09375
15,7099,7215.0,55.4609375,56.3671875,Tar3,0.90625
16,7514,7629.0,58.703125,59.6015625,Tar3,0.8984375
17,7985,8103.0,62.3828125,63.3046875,Tar2,0.921875
18,8452,8578.0,66.03125,67.015625,Tar1,0.984375
19,8966,9076.0,70.046875,70.90625,Tar1,0.859375
20,9397,9485.0,73.4140625,74.1015625,Tar3,0.6875
21,9816,9951.0,76.6875,77.7421875,Tar2,1.0546875
22,10272,10392.0,80.25,81.1875,Tar2,0.9375
23,10736,10849.0,83.875,84.7578125,Tar1,0.8828125
24,11164,11270.0,87.21875,88.046875,Tar3,0.828125
25,11583,11693.0,90.4921875,91.3515625,Tar3,0.859375
26,12049,12167.0,94.1328125,95.0546875,Tar1,0.921875
27,12532,12664.0,97.90625,98.9375,Tar2,1.03125
28,13049,13156.0,101.9453125,102.78125,Tar1,0.8359375
29,13498,13633.0,105.453125,106.5078125,Tar2,1.0546875
30,13989,14093.0,109.2890625,110.1015625,Tar3,0.8125
