Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,894,1730.0,6.984375,13.515625,Tar1,6.53125
2,11088,11913.0,86.625,93.0703125,Tar2,6.4453125
3,12940,13716.0,101.09375,107.15625,Tar3,6.0625
4,14693,15842.0,114.7890625,123.765625,Tar1,8.9765625
5,17059,17680.0,133.2734375,138.125,Tar3,4.8515625
6,18756,19425.0,146.53125,151.7578125,Tar2,5.2265625
7,20563,21542.0,160.6484375,168.296875,Tar2,7.6484375
8,23116,23913.0,180.59375,186.8203125,Tar1,6.2265625
9,24965,25753.0,195.0390625,201.1953125,Tar3,6.15625
10,27211,27855.0,212.5859375,217.6171875,Tar1,5.03125
11,29038,29821.0,226.859375,232.9765625,Tar3,6.1171875
12,30953,31647.0,241.8203125,247.2421875,Tar2,5.421875
13,32697,33608.0,255.4453125,262.5625,Tar1,7.1171875
14,34731,35502.0,271.3359375,277.359375,Tar3,6.0234375
15,36858,37744.0,287.953125,294.875,Tar2,6.921875
16,38855,39675.0,303.5546875,309.9609375,Tar2,6.40625
17,40739,41551.0,318.2734375,324.6171875,Tar3,6.34375
18,42904,43766.0,335.1875,341.921875,Tar1,6.734375
19,45140,45906.0,352.65625,358.640625,Tar2,5.984375
20,46888,47667.0,366.3125,372.3984375,Tar3,6.0859375
21,48949,49751.0,382.4140625,388.6796875,Tar1,6.265625
22,50842,51694.0,397.203125,403.859375,Tar3,6.65625
23,53013,53836.0,414.1640625,420.59375,Tar2,6.4296875
24,54982,55854.0,429.546875,436.359375,Tar1,6.8125
25,57198,57984.0,446.859375,453.0,Tar2,6.140625
26,59145,59926.0,462.0703125,468.171875,Tar1,6.1015625
27,61315,62488.0,479.0234375,488.1875,Tar3,9.1640625
28,63487,64500.0,495.9921875,503.90625,Tar2,7.9140625
29,65834,66776.0,514.328125,521.6875,Tar3,7.359375
30,67921,68805.0,530.6328125,537.5390625,Tar1,6.90625
