Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,416,516.0,3.25,4.03125,Tar2,0.78125
2,831,925.0,6.4921875,7.2265625,Tar3,0.734375
3,1235,1340.0,9.6484375,10.46875,Tar1,0.8203125
4,1661,1755.0,12.9765625,13.7109375,Tar1,0.734375
5,2123,2223.0,16.5859375,17.3671875,Tar3,0.78125
6,2474,2568.0,19.328125,20.0625,Tar2,0.734375
7,2840,2925.0,22.1875,22.8515625,Tar2,0.6640625
8,3154,3257.0,24.640625,25.4453125,Tar1,0.8046875
9,3514,3595.0,27.453125,28.0859375,Tar3,0.6328125
10,3826,3893.0,29.890625,30.4140625,Tar3,0.5234375
11,4088,4178.0,31.9375,32.640625,Tar1,0.703125
12,4412,4502.0,34.46875,35.171875,Tar2,0.703125
13,4740,4823.0,37.03125,37.6796875,Tar2,0.6484375
14,5087,5157.0,39.7421875,40.2890625,Tar3,0.546875
15,5432,5513.0,42.4375,43.0703125,Tar1,0.6328125
16,5755,5837.0,44.9609375,45.6015625,Tar3,0.640625
17,6023,6106.0,47.0546875,47.703125,Tar1,0.6484375
18,6310,6382.0,49.296875,49.859375,Tar2,0.5625
19,6607,6674.0,51.6171875,52.140625,Tar3,0.5234375
20,6866,6939.0,53.640625,54.2109375,Tar2,0.5703125
21,7136,7215.0,55.75,56.3671875,Tar1,0.6171875
22,7391,7478.0,57.7421875,58.421875,Tar2,0.6796875
23,7664,7739.0,59.875,60.4609375,Tar3,0.5859375
24,7929,8012.0,61.9453125,62.59375,Tar1,0.6484375
25,8180,8271.0,63.90625,64.6171875,Tar2,0.7109375
26,8476,8551.0,66.21875,66.8046875,Tar1,0.5859375
27,8740,8809.0,68.28125,68.8203125,Tar3,0.5390625
28,8984,9068.0,70.1875,70.84375,Tar2,0.65625
29,9271,9355.0,72.4296875,73.0859375,Tar3,0.65625
30,9546,9627.0,74.578125,75.2109375,Tar1,0.6328125
