Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3672,4814.0,28.6875,37.609375,Tar2,8.921875
2,5914,6613.0,46.203125,51.6640625,Tar1,5.4609375
3,7819,8644.0,61.0859375,67.53125,Tar3,6.4453125
4,10041,11325.0,78.4453125,88.4765625,Tar1,10.03125
5,23724,25152.0,185.34375,196.5,Tar2,11.15625
6,26636,28372.0,208.09375,221.65625,Tar3,13.5625
7,29538,30690.0,230.765625,239.765625,Tar3,9.0
8,31743,32696.0,247.9921875,255.4375,Tar2,7.4453125
9,34221,34905.0,267.3515625,272.6953125,Tar1,5.34375
10,36082,37782.0,281.890625,295.171875,Tar3,13.28125
11,39268,40535.0,306.78125,316.6796875,Tar1,9.8984375
12,41912,43293.0,327.4375,338.2265625,Tar2,10.7890625
13,44702,46041.0,349.234375,359.6953125,Tar3,10.4609375
14,56920,57924.0,444.6875,452.53125,Tar2,7.84375
15,59552,60793.0,465.25,474.9453125,Tar1,9.6953125
16,61885,63144.0,483.4765625,493.3125,Tar2,9.8359375
17,64633,65613.0,504.9453125,512.6015625,Tar3,7.65625
18,66674,67857.0,520.890625,530.1328125,Tar1,9.2421875
19,69338,70079.0,541.703125,547.4921875,Tar3,5.7890625
20,71437,72335.0,558.1015625,565.1171875,Tar2,7.015625
21,74070,75248.0,578.671875,587.875,Tar1,9.203125
22,78077,78968.0,609.9765625,616.9375,Tar2,6.9609375
23,80262,80843.0,627.046875,631.5859375,Tar1,4.5390625
24,82478,83398.0,644.359375,651.546875,Tar3,7.1875
25,85038,86218.0,664.359375,673.578125,Tar2,9.21875
26,87830,88492.0,686.171875,691.34375,Tar1,5.171875
27,89778,90427.0,701.390625,706.4609375,Tar3,5.0703125
28,91482,92072.0,714.703125,719.3125,Tar1,4.609375
29,93213,93913.0,728.2265625,733.6953125,Tar3,5.46875
30,104042,104664.0,812.828125,817.6875,Tar2,4.859375
