Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,469,651.0,3.6640625,5.0859375,Tar1,1.421875
2,1201,1371.0,9.3828125,10.7109375,Tar3,1.328125
3,1798,1942.0,14.046875,15.171875,Tar2,1.125
4,2957,3160.0,23.1015625,24.6875,Tar1,1.5859375
5,3497,3642.0,27.3203125,28.453125,Tar3,1.1328125
6,3972,4099.0,31.03125,32.0234375,Tar3,0.9921875
7,4511,4649.0,35.2421875,36.3203125,Tar2,1.078125
8,4994,5155.0,39.015625,40.2734375,Tar1,1.2578125
9,5582,5699.0,43.609375,44.5234375,Tar3,0.9140625
10,6076,6209.0,47.46875,48.5078125,Tar1,1.0390625
11,6643,6784.0,51.8984375,53.0,Tar2,1.1015625
12,7123,7247.0,55.6484375,56.6171875,Tar3,0.96875
13,7634,7757.0,59.640625,60.6015625,Tar2,0.9609375
14,8092,8220.0,63.21875,64.21875,Tar1,1.0
15,8577,8709.0,67.0078125,68.0390625,Tar2,1.03125
16,9073,9186.0,70.8828125,71.765625,Tar3,0.8828125
17,9533,9668.0,74.4765625,75.53125,Tar1,1.0546875
18,9989,10100.0,78.0390625,78.90625,Tar3,0.8671875
19,10463,10592.0,81.7421875,82.75,Tar2,1.0078125
20,10951,11099.0,85.5546875,86.7109375,Tar1,1.15625
21,11453,11561.0,89.4765625,90.3203125,Tar3,0.84375
22,11943,12074.0,93.3046875,94.328125,Tar2,1.0234375
23,12393,12560.0,96.8203125,98.125,Tar1,1.3046875
24,12793,12989.0,99.9453125,101.4765625,Tar3,1.53125
25,13197,13288.0,103.1015625,103.8125,Tar3,0.7109375
26,13548,13715.0,105.84375,107.1484375,Tar1,1.3046875
27,13961,14162.0,109.0703125,110.640625,Tar2,1.5703125
28,14462,14555.0,112.984375,113.7109375,Tar3,0.7265625
29,14833,14962.0,115.8828125,116.890625,Tar1,1.0078125
