Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3392,4951.0,26.5,38.6796875,Tar1,12.1796875
2,6398,7354.0,49.984375,57.453125,Tar3,7.46875
3,8604,9891.0,67.21875,77.2734375,Tar2,10.0546875
4,11209,12816.0,87.5703125,100.125,Tar2,12.5546875
5,13628,14318.0,106.46875,111.859375,Tar2,5.390625
6,15608,16549.0,121.9375,129.2890625,Tar1,7.3515625
7,17583,18404.0,137.3671875,143.78125,Tar3,6.4140625
8,20617,21631.0,161.0703125,168.9921875,Tar1,7.921875
9,23195,24167.0,181.2109375,188.8046875,Tar2,7.59375
10,25601,26681.0,200.0078125,208.4453125,Tar3,8.4375
11,27952,28947.0,218.375,226.1484375,Tar2,7.7734375
12,30321,31206.0,236.8828125,243.796875,Tar3,6.9140625
13,32408,33087.0,253.1875,258.4921875,Tar1,5.3046875
14,34512,35431.0,269.625,276.8046875,Tar2,7.1796875
15,36779,37551.0,287.3359375,293.3671875,Tar1,6.03125
16,38940,39797.0,304.21875,310.9140625,Tar3,6.6953125
17,41309,42101.0,322.7265625,328.9140625,Tar3,6.1875
18,43645,44662.0,340.9765625,348.921875,Tar2,7.9453125
19,46036,46822.0,359.65625,365.796875,Tar1,6.140625
20,48187,48976.0,376.4609375,382.625,Tar3,6.1640625
21,50420,51514.0,393.90625,402.453125,Tar2,8.546875
22,53154,54059.0,415.265625,422.3359375,Tar1,7.0703125
23,55609,56353.0,434.4453125,440.2578125,Tar3,5.8125
24,59438,60274.0,464.359375,470.890625,Tar1,6.53125
25,61443,62250.0,480.0234375,486.328125,Tar3,6.3046875
26,63656,64491.0,497.3125,503.8359375,Tar2,6.5234375
27,65821,66557.0,514.2265625,519.9765625,Tar3,5.75
28,67863,68691.0,530.1796875,536.6484375,Tar1,6.46875
29,70059,70861.0,547.3359375,553.6015625,Tar1,6.265625
30,72414,73339.0,565.734375,572.9609375,Tar2,7.2265625
