Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,604,787.0,4.71875,6.1484375,Tar2,1.4296875
2,1599,1702.0,12.4921875,13.296875,Tar3,0.8046875
3,2317,2483.0,18.1015625,19.3984375,Tar1,1.296875
4,2886,2993.0,22.546875,23.3828125,Tar3,0.8359375
5,3304,3444.0,25.8125,26.90625,Tar1,1.09375
6,3706,3821.0,28.953125,29.8515625,Tar2,0.8984375
7,4133,4246.0,32.2890625,33.171875,Tar1,0.8828125
8,4559,4655.0,35.6171875,36.3671875,Tar3,0.75
9,4986,5105.0,38.953125,39.8828125,Tar2,0.9296875
10,5394,5516.0,42.140625,43.09375,Tar1,0.953125
11,5865,5995.0,45.8203125,46.8359375,Tar2,1.015625
12,6312,6419.0,49.3125,50.1484375,Tar3,0.8359375
13,6762,6899.0,52.828125,53.8984375,Tar2,1.0703125
14,7207,7314.0,56.3046875,57.140625,Tar3,0.8359375
15,7650,7779.0,59.765625,60.7734375,Tar1,1.0078125
16,8138,8258.0,63.578125,64.515625,Tar1,0.9375
17,8642,8761.0,67.515625,68.4453125,Tar2,0.9296875
18,9016,9127.0,70.4375,71.3046875,Tar3,0.8671875
19,9456,9588.0,73.875,74.90625,Tar2,1.03125
20,9897,10014.0,77.3203125,78.234375,Tar3,0.9140625
21,10307,10431.0,80.5234375,81.4921875,Tar1,0.96875
22,10722,10855.0,83.765625,84.8046875,Tar2,1.0390625
23,11186,11280.0,87.390625,88.125,Tar3,0.734375
24,11885,11971.0,92.8515625,93.5234375,Tar3,0.671875
25,12459,12580.0,97.3359375,98.28125,Tar1,0.9453125
26,12862,12985.0,100.484375,101.4453125,Tar2,0.9609375
27,13584,13691.0,106.125,106.9609375,Tar2,0.8359375
28,13940,14057.0,108.90625,109.8203125,Tar1,0.9140625
