Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,19123,20193.0,149.3984375,157.7578125,Tar2,8.359375
2,21849,23866.0,170.6953125,186.453125,Tar3,15.7578125
3,25282,26577.0,197.515625,207.6328125,Tar1,10.1171875
4,27858,30534.0,217.640625,238.546875,Tar1,20.90625
5,31905,33417.0,249.2578125,261.0703125,Tar3,11.8125
6,35032,36169.0,273.6875,282.5703125,Tar2,8.8828125
7,60654,61565.0,473.859375,480.9765625,Tar1,7.1171875
8,63104,64290.0,493.0,502.265625,Tar2,9.265625
9,65802,67499.0,514.078125,527.3359375,Tar3,13.2578125
10,68888,69956.0,538.1875,546.53125,Tar1,8.34375
11,71555,72636.0,559.0234375,567.46875,Tar2,8.4453125
12,74219,75238.0,579.8359375,587.796875,Tar3,7.9609375
13,76645,77607.0,598.7890625,606.3046875,Tar1,7.515625
14,79160,80552.0,618.4375,629.3125,Tar2,10.875
15,82161,83189.0,641.8828125,649.9140625,Tar3,8.03125
16,84786,86193.0,662.390625,673.3828125,Tar3,10.9921875
17,87912,89057.0,686.8125,695.7578125,Tar2,8.9453125
18,98022,98943.0,765.796875,772.9921875,Tar1,7.1953125
19,100297,101294.0,783.5703125,791.359375,Tar3,7.7890625
20,102903,103848.0,803.9296875,811.3125,Tar1,7.3828125
21,105486,107369.0,824.109375,838.8203125,Tar2,14.7109375
22,108911,109996.0,850.8671875,859.34375,Tar3,8.4765625
23,111733,112836.0,872.9140625,881.53125,Tar2,8.6171875
24,114485,115404.0,894.4140625,901.59375,Tar1,7.1796875
25,116873,117836.0,913.0703125,920.59375,Tar1,7.5234375
26,119579,120764.0,934.2109375,943.46875,Tar3,9.2578125
27,122286,123276.0,955.359375,963.09375,Tar2,7.734375
28,124731,125761.0,974.4609375,982.5078125,Tar1,8.046875
29,127373,128400.0,995.1015625,1003.125,Tar2,8.0234375
30,137027,137833.0,1070.5234375,1076.8203125,Tar3,6.296875
