Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3533,4478.0,27.6015625,34.984375,Tar3,7.3828125
2,6835,7819.0,53.3984375,61.0859375,Tar2,7.6875
3,9527,10090.0,74.4296875,78.828125,Tar1,4.3984375
4,11577,12293.0,90.4453125,96.0390625,Tar2,5.59375
5,13792,14264.0,107.75,111.4375,Tar3,3.6875
6,15572,15980.0,121.65625,124.84375,Tar1,3.1875
7,17379,17779.0,135.7734375,138.8984375,Tar3,3.125
8,19089,19675.0,149.1328125,153.7109375,Tar2,4.578125
9,21204,21677.0,165.65625,169.3515625,Tar1,3.6953125
10,23129,23554.0,180.6953125,184.015625,Tar1,3.3203125
11,24826,25354.0,193.953125,198.078125,Tar3,4.125
12,36635,37297.0,286.2109375,291.3828125,Tar2,5.171875
13,38622,39073.0,301.734375,305.2578125,Tar2,3.5234375
14,40181,40618.0,313.9140625,317.328125,Tar1,3.4140625
15,41882,42364.0,327.203125,330.96875,Tar3,3.765625
16,43891,44385.0,342.8984375,346.7578125,Tar1,3.859375
17,45680,46338.0,356.875,362.015625,Tar3,5.140625
18,47753,48632.0,373.0703125,379.9375,Tar2,6.8671875
19,67670,68349.0,528.671875,533.9765625,Tar1,5.3046875
20,69728,70382.0,544.75,549.859375,Tar2,5.109375
21,72173,72733.0,563.8515625,568.2265625,Tar3,4.375
22,74014,74546.0,578.234375,582.390625,Tar3,4.15625
23,75858,76563.0,592.640625,598.1484375,Tar2,5.5078125
24,87414,87862.0,682.921875,686.421875,Tar1,3.5
25,88936,89349.0,694.8125,698.0390625,Tar3,3.2265625
26,101303,101628.0,791.4296875,793.96875,Tar1,2.5390625
27,103112,103564.0,805.5625,809.09375,Tar2,3.53125
28,115914,116366.0,905.578125,909.109375,Tar2,3.53125
29,117494,117830.0,917.921875,920.546875,Tar1,2.625
30,118902,119351.0,928.921875,932.4296875,Tar3,3.5078125
