Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,422,563.0,3.296875,4.3984375,Tar2,1.1015625
2,1004,1103.0,7.84375,8.6171875,Tar1,0.7734375
3,1479,1570.0,11.5546875,12.265625,Tar3,0.7109375
4,1946,2048.0,15.203125,16.0,Tar2,0.796875
5,2422,2518.0,18.921875,19.671875,Tar1,0.75
6,2926,2999.0,22.859375,23.4296875,Tar3,0.5703125
7,3332,3423.0,26.03125,26.7421875,Tar2,0.7109375
8,3738,3817.0,29.203125,29.8203125,Tar3,0.6171875
9,4137,4236.0,32.3203125,33.09375,Tar1,0.7734375
10,4599,4690.0,35.9296875,36.640625,Tar2,0.7109375
11,5034,5116.0,39.328125,39.96875,Tar3,0.640625
12,5422,5525.0,42.359375,43.1640625,Tar1,0.8046875
13,5840,5920.0,45.625,46.25,Tar3,0.625
14,6249,6332.0,48.8203125,49.46875,Tar2,0.6484375
15,6664,6755.0,52.0625,52.7734375,Tar1,0.7109375
16,7082,7175.0,55.328125,56.0546875,Tar2,0.7265625
17,7542,7627.0,58.921875,59.5859375,Tar1,0.6640625
18,7951,8031.0,62.1171875,62.7421875,Tar3,0.625
19,8321,8400.0,65.0078125,65.625,Tar3,0.6171875
20,8685,8780.0,67.8515625,68.59375,Tar1,0.7421875
21,9099,9182.0,71.0859375,71.734375,Tar2,0.6484375
22,9545,9626.0,74.5703125,75.203125,Tar1,0.6328125
23,9992,10070.0,78.0625,78.671875,Tar2,0.609375
24,10427,10505.0,81.4609375,82.0703125,Tar3,0.609375
25,10876,10944.0,84.96875,85.5,Tar3,0.53125
26,11275,11361.0,88.0859375,88.7578125,Tar2,0.671875
27,11718,11807.0,91.546875,92.2421875,Tar1,0.6953125
28,12161,12238.0,95.0078125,95.609375,Tar3,0.6015625
29,12581,12673.0,98.2890625,99.0078125,Tar1,0.71875
30,12987,13083.0,101.4609375,102.2109375,Tar2,0.75
