Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,4861,6527.0,37.9765625,50.9921875,Tar1,13.015625
2,9219,11027.0,72.0234375,86.1484375,Tar3,14.125
3,12892,14022.0,100.71875,109.546875,Tar2,8.828125
4,23349,24211.0,182.4140625,189.1484375,Tar3,6.734375
5,50333,52530.0,393.2265625,410.390625,Tar1,17.1640625
6,54118,55329.0,422.796875,432.2578125,Tar2,9.4609375
7,56839,57924.0,444.0546875,452.53125,Tar1,8.4765625
8,59479,60633.0,464.6796875,473.6953125,Tar2,9.015625
9,62171,63369.0,485.7109375,495.0703125,Tar3,9.359375
10,64861,67134.0,506.7265625,524.484375,Tar3,17.7578125
11,68701,69923.0,536.7265625,546.2734375,Tar2,9.546875
12,71388,72665.0,557.71875,567.6953125,Tar1,9.9765625
13,74071,75193.0,578.6796875,587.4453125,Tar3,8.765625
14,76795,78034.0,599.9609375,609.640625,Tar1,9.6796875
15,79869,81039.0,623.9765625,633.1171875,Tar2,9.140625
16,82876,85242.0,647.46875,665.953125,Tar2,18.484375
17,86959,88666.0,679.3671875,692.703125,Tar1,13.3359375
18,90189,91264.0,704.6015625,713.0,Tar3,8.3984375
19,101062,102063.0,789.546875,797.3671875,Tar1,7.8203125
20,103672,104585.0,809.9375,817.0703125,Tar3,7.1328125
21,105956,107083.0,827.78125,836.5859375,Tar2,8.8046875
22,108663,109859.0,848.9296875,858.2734375,Tar1,9.34375
23,111253,112234.0,869.1640625,876.828125,Tar3,7.6640625
24,113675,114854.0,888.0859375,897.296875,Tar2,9.2109375
25,116816,117962.0,912.625,921.578125,Tar2,8.953125
26,119474,120590.0,933.390625,942.109375,Tar3,8.71875
27,122194,123282.0,954.640625,963.140625,Tar1,8.5
28,124778,125792.0,974.828125,982.75,Tar3,7.921875
29,127369,128596.0,995.0703125,1004.65625,Tar2,9.5859375
30,130230,131268.0,1017.421875,1025.53125,Tar1,8.109375
