Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,507,644.0,3.9609375,5.03125,Tar2,1.0703125
2,1063,1191.0,8.3046875,9.3046875,Tar1,1.0
3,1557,1654.0,12.1640625,12.921875,Tar3,0.7578125
4,1997,2129.0,15.6015625,16.6328125,Tar2,1.03125
5,2450,2583.0,19.140625,20.1796875,Tar1,1.0390625
6,2877,2959.0,22.4765625,23.1171875,Tar3,0.640625
7,3269,3387.0,25.5390625,26.4609375,Tar1,0.921875
8,3716,3834.0,29.03125,29.953125,Tar2,0.921875
9,4159,4247.0,32.4921875,33.1796875,Tar3,0.6875
10,4534,4644.0,35.421875,36.28125,Tar1,0.859375
11,4891,4987.0,38.2109375,38.9609375,Tar3,0.75
12,5157,5356.0,40.2890625,41.84375,Tar2,1.5546875
13,5635,5718.0,44.0234375,44.671875,Tar3,0.6484375
14,5884,6131.0,45.96875,47.8984375,Tar2,1.9296875
15,6319,6485.0,49.3671875,50.6640625,Tar1,1.296875
16,6784,6886.0,53.0,53.796875,Tar3,0.796875
17,7165,7265.0,55.9765625,56.7578125,Tar1,0.78125
18,7519,7634.0,58.7421875,59.640625,Tar2,0.8984375
19,7890,8006.0,61.640625,62.546875,Tar2,0.90625
20,8246,8353.0,64.421875,65.2578125,Tar3,0.8359375
21,8637,8754.0,67.4765625,68.390625,Tar1,0.9140625
22,8997,9081.0,70.2890625,70.9453125,Tar3,0.65625
23,9368,9499.0,73.1875,74.2109375,Tar2,1.0234375
24,9747,9848.0,76.1484375,76.9375,Tar1,0.7890625
25,10096,10213.0,78.875,79.7890625,Tar2,0.9140625
26,10521,10627.0,82.1953125,83.0234375,Tar1,0.828125
27,10796,10999.0,84.34375,85.9296875,Tar3,1.5859375
28,11167,11376.0,87.2421875,88.875,Tar2,1.6328125
29,11631,11788.0,90.8671875,92.09375,Tar3,1.2265625
30,11966,12081.0,93.484375,94.3828125,Tar1,0.8984375
