Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,4264,5734.0,33.3125,44.796875,Tar3,11.484375
2,7598,8841.0,59.359375,69.0703125,Tar1,9.7109375
3,10568,11548.0,82.5625,90.21875,Tar2,7.65625
4,13022,14038.0,101.734375,109.671875,Tar2,7.9375
5,15576,16891.0,121.6875,131.9609375,Tar3,10.2734375
6,18579,19647.0,145.1484375,153.4921875,Tar1,8.34375
7,21168,22303.0,165.375,174.2421875,Tar1,8.8671875
8,24111,25251.0,188.3671875,197.2734375,Tar2,8.90625
9,37074,37935.0,289.640625,296.3671875,Tar3,6.7265625
10,39293,40072.0,306.9765625,313.0625,Tar1,6.0859375
11,41362,42202.0,323.140625,329.703125,Tar2,6.5625
12,50672,51556.0,395.875,402.78125,Tar3,6.90625
13,53109,54044.0,414.9140625,422.21875,Tar1,7.3046875
14,55538,56449.0,433.890625,441.0078125,Tar2,7.1171875
15,57815,58905.0,451.6796875,460.1953125,Tar3,8.515625
16,60494,61499.0,472.609375,480.4609375,Tar1,7.8515625
17,63193,63926.0,493.6953125,499.421875,Tar2,5.7265625
18,65425,66516.0,511.1328125,519.65625,Tar3,8.5234375
19,68426,69258.0,534.578125,541.078125,Tar1,6.5
20,70539,71618.0,551.0859375,559.515625,Tar3,8.4296875
21,73129,74287.0,571.3203125,580.3671875,Tar2,9.046875
22,75960,76947.0,593.4375,601.1484375,Tar1,7.7109375
23,78470,79285.0,613.046875,619.4140625,Tar3,6.3671875
24,80792,81723.0,631.1875,638.4609375,Tar2,7.2734375
25,83176,84025.0,649.8125,656.4453125,Tar1,6.6328125
26,85565,87023.0,668.4765625,679.8671875,Tar2,11.390625
27,96637,97592.0,754.9765625,762.4375,Tar3,7.4609375
28,99054,100028.0,773.859375,781.46875,Tar2,7.609375
29,101318,102449.0,791.546875,800.3828125,Tar1,8.8359375
30,104003,104784.0,812.5234375,818.625,Tar3,6.1015625
