Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,509,659.0,3.9765625,5.1484375,Tar2,1.171875
2,978,1107.0,7.640625,8.6484375,Tar3,1.0078125
3,1429,1582.0,11.1640625,12.359375,Tar1,1.1953125
4,1929,2106.0,15.0703125,16.453125,Tar1,1.3828125
5,2420,2577.0,18.90625,20.1328125,Tar2,1.2265625
6,2879,3017.0,22.4921875,23.5703125,Tar3,1.078125
7,3356,3499.0,26.21875,27.3359375,Tar3,1.1171875
8,3813,3986.0,29.7890625,31.140625,Tar1,1.3515625
9,4328,4489.0,33.8125,35.0703125,Tar2,1.2578125
10,4883,5030.0,38.1484375,39.296875,Tar1,1.1484375
11,5321,5458.0,41.5703125,42.640625,Tar3,1.0703125
12,5717,5880.0,44.6640625,45.9375,Tar2,1.2734375
13,6140,6295.0,47.96875,49.1796875,Tar1,1.2109375
14,6643,6762.0,51.8984375,52.828125,Tar3,0.9296875
15,7156,7315.0,55.90625,57.1484375,Tar2,1.2421875
16,7650,7817.0,59.765625,61.0703125,Tar2,1.3046875
17,8150,8277.0,63.671875,64.6640625,Tar3,0.9921875
18,8623,8778.0,67.3671875,68.578125,Tar1,1.2109375
19,9108,9252.0,71.15625,72.28125,Tar1,1.125
20,9626,9743.0,75.203125,76.1171875,Tar3,0.9140625
21,10138,10253.0,79.203125,80.1015625,Tar3,0.8984375
22,10605,10763.0,82.8515625,84.0859375,Tar2,1.234375
23,11122,11272.0,86.890625,88.0625,Tar1,1.171875
24,11625,11760.0,90.8203125,91.875,Tar2,1.0546875
25,12115,12265.0,94.6484375,95.8203125,Tar3,1.171875
26,12620,12772.0,98.59375,99.78125,Tar1,1.1875
27,13084,13210.0,102.21875,103.203125,Tar3,0.984375
28,13555,13710.0,105.8984375,107.109375,Tar2,1.2109375
29,14012,14174.0,109.46875,110.734375,Tar1,1.265625
30,14496,14636.0,113.25,114.34375,Tar2,1.09375
