Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,2775,3504.0,21.6796875,27.375,Tar1,5.6953125
2,4565,5411.0,35.6640625,42.2734375,Tar3,6.609375
3,7138,8172.0,55.765625,63.84375,Tar2,8.078125
4,9665,10718.0,75.5078125,83.734375,Tar2,8.2265625
5,12594,13539.0,98.390625,105.7734375,Tar1,7.3828125
6,14759,15757.0,115.3046875,123.1015625,Tar3,7.796875
7,17148,18101.0,133.96875,141.4140625,Tar3,7.4453125
8,19854,20850.0,155.109375,162.890625,Tar2,7.78125
9,22238,23131.0,173.734375,180.7109375,Tar1,6.9765625
10,24562,25487.0,191.890625,199.1171875,Tar1,7.2265625
11,27192,27977.0,212.4375,218.5703125,Tar3,6.1328125
12,29338,30342.0,229.203125,237.046875,Tar2,7.84375
13,32013,32985.0,250.1015625,257.6953125,Tar1,7.59375
14,34609,35476.0,270.3828125,277.15625,Tar2,6.7734375
15,36866,37788.0,288.015625,295.21875,Tar3,7.203125
16,39302,40230.0,307.046875,314.296875,Tar3,7.25
17,41555,42570.0,324.6484375,332.578125,Tar2,7.9296875
18,43985,44921.0,343.6328125,350.9453125,Tar1,7.3125
19,46482,47494.0,363.140625,371.046875,Tar3,7.90625
20,49007,50127.0,382.8671875,391.6171875,Tar1,8.75
21,51745,52603.0,404.2578125,410.9609375,Tar2,6.703125
22,65513,66347.0,511.8203125,518.3359375,Tar2,6.515625
23,80152,81007.0,626.1875,632.8671875,Tar3,6.6796875
24,82327,83113.0,643.1796875,649.3203125,Tar1,6.140625
25,84617,85444.0,661.0703125,667.53125,Tar3,6.4609375
26,86817,87642.0,678.2578125,684.703125,Tar2,6.4453125
27,88765,89640.0,693.4765625,700.3125,Tar1,6.8359375
28,91231,92351.0,712.7421875,721.4921875,Tar2,8.75
29,93743,94735.0,732.3671875,740.1171875,Tar3,7.75
30,96246,97085.0,751.921875,758.4765625,Tar1,6.5546875
