Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,356,447.0,2.78125,3.4921875,Tar3,0.7109375
2,830,926.0,6.484375,7.234375,Tar2,0.75
3,1279,1384.0,9.9921875,10.8125,Tar1,0.8203125
4,1771,1859.0,13.8359375,14.5234375,Tar1,0.6875
5,2205,2305.0,17.2265625,18.0078125,Tar3,0.78125
6,2650,2780.0,20.703125,21.71875,Tar2,1.015625
7,3091,3197.0,24.1484375,24.9765625,Tar2,0.828125
8,3536,3627.0,27.625,28.3359375,Tar3,0.7109375
9,3953,4045.0,30.8828125,31.6015625,Tar1,0.71875
10,4361,4469.0,34.0703125,34.9140625,Tar2,0.84375
11,4800,4908.0,37.5,38.34375,Tar1,0.84375
12,5125,5234.0,40.0390625,40.890625,Tar3,0.8515625
13,5636,5749.0,44.03125,44.9140625,Tar1,0.8828125
14,6084,6163.0,47.53125,48.1484375,Tar3,0.6171875
15,6532,6646.0,51.03125,51.921875,Tar2,0.890625
16,6984,7089.0,54.5625,55.3828125,Tar1,0.8203125
17,7439,7540.0,58.1171875,58.90625,Tar2,0.7890625
18,7851,7944.0,61.3359375,62.0625,Tar3,0.7265625
19,8295,8380.0,64.8046875,65.46875,Tar3,0.6640625
20,8761,8875.0,68.4453125,69.3359375,Tar2,0.890625
21,9168,9284.0,71.625,72.53125,Tar1,0.90625
22,9662,9757.0,75.484375,76.2265625,Tar3,0.7421875
23,10087,10202.0,78.8046875,79.703125,Tar2,0.8984375
24,10512,10618.0,82.125,82.953125,Tar1,0.828125
25,10928,11036.0,85.375,86.21875,Tar2,0.84375
26,11336,11482.0,88.5625,89.703125,Tar1,1.140625
27,11783,11907.0,92.0546875,93.0234375,Tar3,0.96875
28,12277,12388.0,95.9140625,96.78125,Tar1,0.8671875
29,12764,12879.0,99.71875,100.6171875,Tar2,0.8984375
30,13218,13318.0,103.265625,104.046875,Tar3,0.78125
