Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,2410,3312.0,18.828125,25.875,Tar3,7.046875
2,4472,5543.0,34.9375,43.3046875,Tar2,8.3671875
3,18146,19034.0,141.765625,148.703125,Tar1,6.9375
4,20356,21410.0,159.03125,167.265625,Tar2,8.234375
5,22606,23671.0,176.609375,184.9296875,Tar3,8.3203125
6,24861,25786.0,194.2265625,201.453125,Tar1,7.2265625
7,26991,28156.0,210.8671875,219.96875,Tar3,9.1015625
8,29572,30756.0,231.03125,240.28125,Tar2,9.25
9,32065,33141.0,250.5078125,258.9140625,Tar1,8.40625
10,34257,35486.0,267.6328125,277.234375,Tar2,9.6015625
11,37029,38176.0,289.2890625,298.25,Tar1,8.9609375
12,39471,40598.0,308.3671875,317.171875,Tar3,8.8046875
13,42044,43159.0,328.46875,337.1796875,Tar2,8.7109375
14,44312,45455.0,346.1875,355.1171875,Tar1,8.9296875
15,46685,47786.0,364.7265625,373.328125,Tar3,8.6015625
16,48939,50049.0,382.3359375,391.0078125,Tar1,8.671875
17,51258,52278.0,400.453125,408.421875,Tar3,7.96875
18,53460,54561.0,417.65625,426.2578125,Tar2,8.6015625
19,55743,56981.0,435.4921875,445.1640625,Tar2,9.671875
20,58319,59325.0,455.6171875,463.4765625,Tar1,7.859375
21,60411,61542.0,471.9609375,480.796875,Tar3,8.8359375
22,62795,63863.0,490.5859375,498.9296875,Tar1,8.34375
23,65084,66210.0,508.46875,517.265625,Tar2,8.796875
24,67392,68579.0,526.5,535.7734375,Tar3,9.2734375
25,69810,70932.0,545.390625,554.15625,Tar1,8.765625
26,72193,73381.0,564.0078125,573.2890625,Tar2,9.28125
27,74655,75710.0,583.2421875,591.484375,Tar3,8.2421875
28,76895,78040.0,600.7421875,609.6875,Tar2,8.9453125
29,79159,80239.0,618.4296875,626.8671875,Tar1,8.4375
30,81435,82530.0,636.2109375,644.765625,Tar3,8.5546875
