Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,551,731.0,4.3046875,5.7109375,Tar2,1.40625
2,1181,1312.0,9.2265625,10.25,Tar1,1.0234375
3,1675,1794.0,13.0859375,14.015625,Tar3,0.9296875
4,2206,2317.0,17.234375,18.1015625,Tar3,0.8671875
5,2609,2744.0,20.3828125,21.4375,Tar2,1.0546875
6,3042,3185.0,23.765625,24.8828125,Tar1,1.1171875
7,3557,3690.0,27.7890625,28.828125,Tar1,1.0390625
8,4056,4168.0,31.6875,32.5625,Tar3,0.875
9,4467,4595.0,34.8984375,35.8984375,Tar2,1.0
10,5181,5324.0,40.4765625,41.59375,Tar1,1.1171875
11,5661,5784.0,44.2265625,45.1875,Tar2,0.9609375
12,6128,6240.0,47.875,48.75,Tar3,0.875
13,6554,6687.0,51.203125,52.2421875,Tar1,1.0390625
14,7007,7127.0,54.7421875,55.6796875,Tar2,0.9375
15,7470,7587.0,58.359375,59.2734375,Tar3,0.9140625
16,7898,8040.0,61.703125,62.8125,Tar2,1.109375
17,8280,8420.0,64.6875,65.78125,Tar3,1.09375
18,8707,8827.0,68.0234375,68.9609375,Tar1,0.9375
19,9104,9246.0,71.125,72.234375,Tar2,1.109375
20,9567,9693.0,74.7421875,75.7265625,Tar1,0.984375
21,9877,10049.0,77.1640625,78.5078125,Tar3,1.34375
22,10332,10439.0,80.71875,81.5546875,Tar3,0.8359375
23,10730,10870.0,83.828125,84.921875,Tar2,1.09375
24,11191,11337.0,87.4296875,88.5703125,Tar1,1.140625
25,11596,11725.0,90.59375,91.6015625,Tar2,1.0078125
26,12011,12135.0,93.8359375,94.8046875,Tar1,0.96875
27,12409,12515.0,96.9453125,97.7734375,Tar3,0.828125
28,12776,12876.0,99.8125,100.59375,Tar3,0.78125
29,13191,13309.0,103.0546875,103.9765625,Tar1,0.921875
30,13570,13698.0,106.015625,107.015625,Tar2,1.0
