Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,4563,5228.0,35.6484375,40.84375,Tar3,5.1953125
2,6373,7386.0,49.7890625,57.703125,Tar2,7.9140625
3,8739,9829.0,68.2734375,76.7890625,Tar1,8.515625
4,11376,12324.0,88.875,96.28125,Tar1,7.40625
5,13822,14728.0,107.984375,115.0625,Tar3,7.078125
6,15944,17037.0,124.5625,133.1015625,Tar2,8.5390625
7,18318,19353.0,143.109375,151.1953125,Tar2,8.0859375
8,20688,21578.0,161.625,168.578125,Tar1,6.953125
9,32945,33548.0,257.3828125,262.09375,Tar3,4.7109375
10,34798,35791.0,271.859375,279.6171875,Tar1,7.7578125
11,37267,38102.0,291.1484375,297.671875,Tar2,6.5234375
12,39452,40379.0,308.21875,315.4609375,Tar3,7.2421875
13,51358,52018.0,401.234375,406.390625,Tar2,5.15625
14,53088,53969.0,414.75,421.6328125,Tar3,6.8828125
15,64612,65262.0,504.78125,509.859375,Tar1,5.078125
16,66353,67190.0,518.3828125,524.921875,Tar1,6.5390625
17,68582,69400.0,535.796875,542.1875,Tar2,6.390625
18,70831,71749.0,553.3671875,560.5390625,Tar3,7.171875
19,73029,73993.0,570.5390625,578.0703125,Tar3,7.53125
20,75352,76336.0,588.6875,596.375,Tar1,7.6875
21,78043,79026.0,609.7109375,617.390625,Tar2,7.6796875
22,80562,81563.0,629.390625,637.2109375,Tar2,7.8203125
23,82943,83987.0,647.9921875,656.1484375,Tar1,8.15625
24,96789,97459.0,756.1640625,761.3984375,Tar3,5.234375
25,98692,99583.0,771.03125,777.9921875,Tar1,6.9609375
26,100738,101611.0,787.015625,793.8359375,Tar2,6.8203125
27,103035,103929.0,804.9609375,811.9453125,Tar3,6.984375
28,105140,105984.0,821.40625,828.0,Tar3,6.59375
29,107154,107954.0,837.140625,843.390625,Tar1,6.25
30,109121,110037.0,852.5078125,859.6640625,Tar2,7.15625
